Step,FlowLoss,Accepted,AvgEnergy,AvgShift,AvgAcc,AvgMSD,T_Phys,T_Train,T_Jump,T_Total
0,0.0,0,-238.82992553710938,2.1858022212982178,1.2499994039535522,0.0,8.855997562408447,2.1457672119140625e-06,0.0,8.856080532073975
100,0.0,0,-333.20880126953125,1.9054697751998901,0.7673606872558594,1408.9962158203125,8.723182916641235,1.9073486328125e-06,2.384185791015625e-07,8.72322416305542
200,0.0,0,-354.6868896484375,1.858039140701294,0.7847219109535217,3606.95166015625,8.61103868484497,1.6689300537109375e-06,2.384185791015625e-07,8.611076831817627
300,0.0,0,-362.8418884277344,1.877164602279663,0.7256940603256226,6158.21728515625,8.671447277069092,1.1920928955078125e-06,7.152557373046875e-07,8.671485424041748
400,0.0,0,-371.0477294921875,1.8186802864074707,0.763888418674469,8496.1044921875,8.674689292907715,1.430511474609375e-06,2.384185791015625e-07,8.674728155136108
500,0.0,0,-372.47503662109375,1.8007416725158691,0.614582896232605,10512.9501953125,8.567150115966797,1.430511474609375e-06,2.384185791015625e-07,8.567187786102295
600,0.0,0,-380.0733337402344,1.7355091571807861,0.5520829558372498,12315.3154296875,8.849654197692871,1.6689300537109375e-06,2.384185791015625e-07,8.84969186782837
700,0.0,0,-385.8335876464844,1.7590956687927246,0.6909719109535217,13935.6875,8.737828731536865,1.430511474609375e-06,2.384185791015625e-07,8.737866640090942
800,0.0,0,-381.7266845703125,1.7542797327041626,0.6006942987442017,15788.0966796875,8.65952467918396,1.1920928955078125e-06,2.384185791015625e-07,8.659587621688843
900,0.0,0,-383.58203125,1.8251441717147827,0.6006941795349121,17276.51171875,8.736693859100342,1.6689300537109375e-06,2.384185791015625e-07,8.736734628677368
1000,0.0,0,-386.4198913574219,1.736080527305603,0.6805552840232849,19543.37109375,8.83500075340271,1.6689300537109375e-06,2.384185791015625e-07,8.83504056930542
1100,0.0,0,-393.72149658203125,1.7502213716506958,0.5277774930000305,21275.689453125,8.910613775253296,1.1920928955078125e-06,2.384185791015625e-07,8.910652875900269
1200,0.0,0,-397.37457275390625,1.8206912279129028,0.6354162693023682,23136.6875,8.834219932556152,1.6689300537109375e-06,4.76837158203125e-07,8.834259271621704
1300,0.0,0,-396.2435607910156,1.8229615688323975,0.6284721493721008,25078.76953125,8.892511367797852,1.9073486328125e-06,4.76837158203125e-07,8.89255142211914
1400,0.0,0,-394.4244079589844,1.8009370565414429,0.7187496423721313,27470.078125,8.784460306167603,1.6689300537109375e-06,2.384185791015625e-07,8.784498929977417
1500,0.0,0,-398.6195983886719,1.7455922365188599,0.5486108064651489,29939.44921875,8.746197938919067,1.6689300537109375e-06,4.76837158203125e-07,8.746237993240356
1600,0.0,0,-399.1328430175781,1.8347843885421753,0.4861108660697937,32199.7734375,8.761937141418457,1.1920928955078125e-06,0.0,8.76197600364685
1700,0.0,0,-398.0678405761719,1.8107037544250488,0.6701387166976929,33694.49609375,8.82441258430481,1.6689300537109375e-06,2.384185791015625e-07,8.824451208114624
1800,0.0,0,-397.055908203125,1.7727361917495728,0.5624996423721313,35881.796875,8.733069658279419,2.1457672119140625e-06,2.384185791015625e-07,8.733100891113281
1900,0.0,0,-395.0674133300781,1.8215832710266113,0.6249996423721313,37948.7109375,8.621524572372437,1.430511474609375e-06,4.76837158203125e-07,8.62156343460083
2000,0.0,0,-394.4903869628906,1.7896381616592407,0.6006941199302673,39823.14453125,8.745608568191528,1.6689300537109375e-06,0.0,8.745656967163086
2100,0.0,0,-399.185302734375,1.8530055284500122,0.5347219705581665,40444.078125,8.735175132751465,1.6689300537109375e-06,2.384185791015625e-07,8.735213041305542
2200,0.0,0,-396.1278381347656,1.7550041675567627,0.6597219109535217,42233.57421875,8.728423595428467,1.6689300537109375e-06,2.384185791015625e-07,8.728461980819702
2300,0.0,0,-386.5944519042969,1.8479748964309692,0.5520831942558289,44285.81640625,8.758267164230347,1.6689300537109375e-06,4.76837158203125e-07,8.758304834365845
2400,0.0,0,-389.880615234375,1.8313047885894775,0.6041664481163025,45552.8203125,8.861733675003052,1.6689300537109375e-06,0.0,8.861779928207397
2500,0.0,0,-392.46160888671875,1.759129285812378,0.39583319425582886,47801.0390625,8.751228094100952,1.9073486328125e-06,2.384185791015625e-07,8.751267194747925
2600,0.0,0,-393.112548828125,1.8178153038024902,0.5902774930000305,49836.55078125,8.638656854629517,1.6689300537109375e-06,0.0,8.63869595527649
2700,0.0,0,-385.9361267089844,1.829360008239746,0.6111108660697937,52649.9140625,8.658275127410889,1.1920928955078125e-06,4.76837158203125e-07,8.658313274383545
2800,0.0,0,-387.9783935546875,1.7467613220214844,0.7013884782791138,55355.69140625,8.719983339309692,1.430511474609375e-06,2.384185791015625e-07,8.720020055770874
2900,0.0,0,-392.9713134765625,1.787122368812561,0.5902774930000305,56654.21484375,8.737197399139404,1.430511474609375e-06,4.76837158203125e-07,8.737235069274902
3000,0.0,0,-398.3247985839844,1.754584789276123,0.6284719109535217,58571.67578125,8.827610969543457,1.6689300537109375e-06,0.0,8.827650547027588
3100,0.0,0,-398.40863037109375,1.7386448383331299,0.5208331942558289,60119.12109375,8.768811464309692,1.430511474609375e-06,2.384185791015625e-07,8.768850088119507
3200,0.0,0,-397.21429443359375,1.7635295391082764,0.5937497019767761,61793.87890625,8.681095600128174,1.6689300537109375e-06,2.384185791015625e-07,8.681134223937988
3300,0.0,0,-396.2138366699219,1.7940384149551392,0.5069440603256226,64249.8046875,8.85828161239624,1.430511474609375e-06,7.152557373046875e-07,8.858339548110962
3400,0.0,0,-395.50347900390625,1.734226942062378,0.5138885974884033,66363.40625,8.725753545761108,1.6689300537109375e-06,0.0,8.725794792175293
3500,0.0,0,-394.27984619140625,1.8655331134796143,0.5624998211860657,68060.5078125,8.65588092803955,1.6689300537109375e-06,2.384185791015625e-07,8.65591835975647
3600,0.0,0,-400.419189453125,1.7630401849746704,0.6180552840232849,70353.9765625,8.649499893188477,1.430511474609375e-06,2.384185791015625e-07,8.649537324905396
3700,0.0,0,-400.44378662109375,1.7816256284713745,0.5347219705581665,71668.1171875,8.650750398635864,1.6689300537109375e-06,4.76837158203125e-07,8.650789737701416
3800,0.0,0,-396.52520751953125,1.8330618143081665,0.6527775526046753,73374.6875,8.840994358062744,1.6689300537109375e-06,2.384185791015625e-07,8.84103274345398
3900,0.0,0,-392.0975036621094,1.849916934967041,0.6388886570930481,76558.5859375,8.791171550750732,1.9073486328125e-06,2.384185791015625e-07,8.791210174560547
4000,0.0,0,-399.3048095703125,1.7860808372497559,0.6354165077209473,79457.0625,8.72308874130249,1.6689300537109375e-06,0.0,8.723127841949463
4100,0.0,0,-394.4712219238281,1.8745596408843994,0.5590275526046753,80976.8515625,8.883488178253174,1.9073486328125e-06,0.0,8.88352656364441
4200,0.0,0,-394.55010986328125,1.756270170211792,0.5486107468605042,82587.8203125,8.861408233642578,1.430511474609375e-06,2.384185791015625e-07,8.861447095870972
4300,0.0,0,-392.49676513671875,1.8405919075012207,0.6006941199302673,85671.640625,8.743000745773315,1.6689300537109375e-06,7.152557373046875e-07,8.743041038513184
4400,0.0,0,-396.0775451660156,1.7924249172210693,0.6527775526046753,87393.5,8.697252988815308,1.430511474609375e-06,0.0,8.697291374206543
4500,0.0,0,-398.0712585449219,1.7458469867706299,0.5555552244186401,89076.1171875,8.705179452896118,1.6689300537109375e-06,2.384185791015625e-07,8.705216646194458
4600,0.0,0,-401.6402282714844,1.7725163698196411,0.6388885974884033,91876.7265625,8.695600271224976,1.430511474609375e-06,4.76837158203125e-07,8.695638179779053
4700,0.0,0,-397.166015625,1.7224531173706055,0.5555554032325745,93662.3671875,8.755675792694092,1.430511474609375e-06,2.384185791015625e-07,8.755714178085327
4800,0.0,0,-397.5830993652344,1.7735158205032349,0.5520830750465393,94702.109375,8.705469369888306,2.6226043701171875e-06,2.384185791015625e-07,8.705517768859863
4900,0.0,0,-395.7418212890625,1.8305875062942505,0.6145829558372498,95977.71875,8.659795045852661,1.9073486328125e-06,2.384185791015625e-07,8.659833431243896
5000,0.0,0,-399.9897155761719,1.8513133525848389,0.6249995827674866,98767.9296875,8.721552848815918,1.430511474609375e-06,2.384185791015625e-07,8.721590518951416
5100,0.0,0,-395.70819091796875,1.8127905130386353,0.5659719705581665,99386.0703125,8.776708364486694,2.1457672119140625e-06,2.384185791015625e-07,8.776761770248413
5200,0.0,0,-400.5370178222656,1.758232593536377,0.5555552840232849,100305.40625,9.563876628875732,1.9073486328125e-06,2.384185791015625e-07,9.56391978263855
5300,0.0,0,-398.4422912597656,1.8437663316726685,0.5729163885116577,101496.84375,9.097936630249023,1.6689300537109375e-06,4.76837158203125e-07,9.097967863082886
5400,0.0,0,-403.2732849121094,1.7676109075546265,0.6354162693023682,101711.453125,8.871641635894775,1.1920928955078125e-06,0.0,8.871673345565796
5500,0.0,0,-403.6156311035156,1.8001227378845215,0.5555552244186401,103473.4921875,8.997593879699707,1.430511474609375e-06,2.384185791015625e-07,8.997644186019897
5600,0.0,0,-403.5672302246094,1.7794184684753418,0.5833330750465393,106175.46875,8.95165491104126,1.6689300537109375e-06,2.384185791015625e-07,8.951691627502441
5700,0.0,0,-400.7340087890625,1.7859148979187012,0.5833331346511841,109843.4296875,8.945295810699463,1.9073486328125e-06,2.384185791015625e-07,8.945337533950806
5800,0.0,0,-403.34417724609375,1.8173727989196777,0.6284720301628113,112691.546875,9.014285326004028,1.430511474609375e-06,2.384185791015625e-07,9.014324188232422
5900,0.0,0,-405.7579040527344,1.7432571649551392,0.5659719705581665,116749.1484375,8.79838514328003,1.430511474609375e-06,2.384185791015625e-07,8.798425197601318
6000,0.0,0,-406.74859619140625,1.7730612754821777,0.5868053436279297,119317.15625,8.705438375473022,1.430511474609375e-06,0.0,8.705476760864258
6100,0.0,0,-405.0994873046875,1.7589797973632812,0.5868052840232849,119103.0703125,8.819437026977539,1.1920928955078125e-06,0.0,8.819480895996094
6200,0.0,0,-403.4393005371094,1.7843120098114014,0.6145831346511841,120263.2734375,8.82235312461853,1.1920928955078125e-06,2.384185791015625e-07,8.82239055633545
6300,0.0,0,-407.8135681152344,1.7760392427444458,0.6354162693023682,123311.5234375,8.679549932479858,1.430511474609375e-06,4.76837158203125e-07,8.679588556289673
6400,0.0,0,-410.551025390625,1.745507836341858,0.597221851348877,126246.4921875,8.760024070739746,1.6689300537109375e-06,0.0,8.760065078735352
6500,0.0,0,-409.45062255859375,1.8601102828979492,0.4479164779186249,128794.171875,8.71435809135437,1.430511474609375e-06,2.384185791015625e-07,8.714395999908447
6600,0.0,0,-404.53497314453125,1.793386697769165,0.659721851348877,130977.5234375,8.591969966888428,1.430511474609375e-06,2.384185791015625e-07,8.592007160186768
6700,0.0,0,-399.0422668457031,1.7640964984893799,0.5243052840232849,132364.96875,8.694826364517212,1.6689300537109375e-06,2.384185791015625e-07,8.694864273071289
6800,0.0,0,-396.96832275390625,1.7702956199645996,0.5694442987442017,135167.015625,8.830209255218506,1.6689300537109375e-06,4.76837158203125e-07,8.830256938934326
6900,0.0,0,-398.2470397949219,1.7884728908538818,0.4895831048488617,138106.5625,8.868998765945435,1.6689300537109375e-06,2.384185791015625e-07,8.869038343429565
7000,0.0,0,-398.97100830078125,1.7989323139190674,0.6388885974884033,141881.953125,8.866036891937256,1.1920928955078125e-06,2.384185791015625e-07,8.86607575416565
7100,0.0,0,-398.2528381347656,1.7684048414230347,0.6979162693023682,144172.640625,8.962416172027588,1.9073486328125e-06,2.384185791015625e-07,8.962454557418823
7200,0.0,0,-404.2210693359375,1.7246037721633911,0.5833331346511841,144700.234375,8.74710488319397,1.6689300537109375e-06,2.384185791015625e-07,8.747142553329468
7300,0.0,0,-398.131591796875,1.7842223644256592,0.5972219705581665,145696.046875,8.710766315460205,1.430511474609375e-06,4.76837158203125e-07,8.710804224014282
7400,0.0,0,-397.653076171875,1.8461307287216187,0.7048607468605042,147235.796875,8.828004121780396,1.430511474609375e-06,2.384185791015625e-07,8.82804274559021
7500,0.0,0,-401.3368225097656,1.775137186050415,0.4722219407558441,148526.0625,8.744022369384766,1.9073486328125e-06,2.384185791015625e-07,8.74406099319458
7600,0.0,0,-400.7460021972656,1.809494137763977,0.5937497615814209,149790.046875,8.740495681762695,1.6689300537109375e-06,2.384185791015625e-07,8.74053406715393
7700,0.0,0,-398.0927734375,1.8596714735031128,0.6874997615814209,150629.875,8.907842636108398,1.430511474609375e-06,2.384185791015625e-07,8.907881498336792
7800,0.0,0,-400.7877197265625,1.7390601634979248,0.5902774930000305,153765.734375,8.78227972984314,1.1920928955078125e-06,2.384185791015625e-07,8.782310962677002
7900,0.0,0,-397.5692138671875,1.8287537097930908,0.590277373790741,154549.859375,8.679415702819824,1.1920928955078125e-06,2.384185791015625e-07,8.67945384979248
8000,0.0,0,-397.4966125488281,1.7658469676971436,0.47222205996513367,155581.671875,8.707812547683716,1.430511474609375e-06,2.384185791015625e-07,8.707850456237793
8100,0.0,0,-401.7537536621094,1.7652004957199097,0.5312496423721313,155902.921875,8.936867475509644,1.1920928955078125e-06,2.384185791015625e-07,8.936906576156616
8200,0.0,0,-403.7077331542969,1.7905006408691406,0.6041666269302368,158057.375,8.864632606506348,1.6689300537109375e-06,2.384185791015625e-07,8.86466908454895
8300,0.0,0,-411.0201416015625,1.7270147800445557,0.6076386570930481,160107.34375,8.810558795928955,1.430511474609375e-06,7.152557373046875e-07,8.810596942901611
8400,0.0,0,-410.2310485839844,1.7444020509719849,0.5729163885116577,162128.0,8.697940349578857,1.6689300537109375e-06,2.384185791015625e-07,8.69797945022583
8500,0.0,0,-406.9438171386719,1.7715266942977905,0.5451385974884033,164479.34375,8.818939208984375,1.1920928955078125e-06,2.384185791015625e-07,8.818976640701294
8600,0.0,0,-408.8041687011719,1.7540260553359985,0.5937495827674866,166433.296875,8.869425058364868,2.1457672119140625e-06,2.384185791015625e-07,8.869472742080688
8700,0.0,0,-408.5851135253906,1.7742018699645996,0.4861108660697937,168954.375,8.84883189201355,1.430511474609375e-06,2.384185791015625e-07,8.84886884689331
8800,0.0,0,-404.4169616699219,1.7587159872055054,0.5972220301628113,169184.984375,9.032162427902222,1.6689300537109375e-06,2.384185791015625e-07,9.032201290130615
8900,0.0,0,-402.2445068359375,1.7998713254928589,0.5312497615814209,170715.140625,8.757993936538696,1.9073486328125e-06,2.384185791015625e-07,8.758050680160522
9000,0.0,0,-400.95330810546875,1.7358394861221313,0.5347219109535217,173348.9375,8.776241779327393,1.430511474609375e-06,2.384185791015625e-07,8.776280164718628
9100,0.0,0,-402.2020568847656,1.862992763519287,0.5555552840232849,175886.140625,8.739990711212158,1.6689300537109375e-06,0.0,8.740028619766235
9200,0.0,0,-401.1198425292969,1.830206036567688,0.5555553436279297,177862.640625,8.76501727104187,1.6689300537109375e-06,2.384185791015625e-07,8.76505446434021
9300,0.0,0,-397.1419982910156,1.8199074268341064,0.5381941795349121,179011.953125,8.70420503616333,1.6689300537109375e-06,4.76837158203125e-07,8.704243898391724
9400,0.0,0,-402.0094909667969,1.8210606575012207,0.5798608064651489,179048.265625,8.790791511535645,1.9073486328125e-06,0.0,8.790830373764038
9500,0.0,0,-400.86383056640625,1.8729819059371948,0.520832896232605,180833.09375,8.809585094451904,1.9073486328125e-06,2.384185791015625e-07,8.809623003005981
9600,0.0,0,-397.2758483886719,1.8142266273498535,0.6180552840232849,181472.453125,8.763426065444946,1.1920928955078125e-06,4.76837158203125e-07,8.763465166091919
9700,0.0,0,-394.2738342285156,1.8026450872421265,0.6458330750465393,182077.90625,8.739951848983765,1.9073486328125e-06,0.0,8.739990949630737
9800,0.0,0,-395.590087890625,1.8026596307754517,0.5381941795349121,183141.953125,8.676464557647705,1.9073486328125e-06,4.76837158203125e-07,8.676501989364624
9900,0.0,0,-401.9745178222656,1.7847346067428589,0.5416664481163025,185625.0625,8.62527322769165,1.6689300537109375e-06,2.384185791015625e-07,8.625311136245728
